Topic,Characteristic,Note,Total,Men+,Women+,Total.1,Men+.1,Women+.1,Total.2,Men+.2,Women+.2,Total.3,Men+.3,Women+.3,Total.4,Men+.4,Women+.4,Total.5,Men+.5,Women+.5,Total.6,Men+.6,Women+.6,Total.7,Men+.7,Women+.7,Total.8,Men+.8,Women+.8,Total.9,Men+.9,Women+.9,Total.10,Men+.10,Women+.10,Total.11,Men+.11,Women+.11
Knowledge of languages,"        Austronesian languages, n.i.e.",,510.0,210.0,300.0,0.1,0.0,0.1,3135.0,1305.0,1830.0,0.1,0.1,0.1,50.0,10.0,30.0,0.0,0.0,0.0,905.0,390.0,515.0,0.1,0.0,0.1,680.0,280.0,400.0,0.1,0.1,0.1,55.0,20.0,40.0,0.1,0.0,0.1
Knowledge of languages,      Creole languages,,10580.0,4660.0,5920.0,1.1,1.0,1.2,9055.0,3840.0,5210.0,0.3,0.3,0.4,1720.0,810.0,915.0,0.3,0.3,0.3,74245.0,33880.0,40365.0,4.3,4.0,4.6,320.0,185.0,130.0,0.0,0.1,0.0,85.0,45.0,40.0,0.1,0.1,0.1
Knowledge of languages,        Haitian Creole,,8565.0,3695.0,4865.0,0.9,0.8,1.0,1995.0,865.0,1130.0,0.1,0.1,0.1,1220.0,540.0,680.0,0.2,0.2,0.3,66445.0,30045.0,36400.0,3.9,3.5,4.2,65.0,40.0,30.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Knowledge of languages,        Jamaican English Creole,,145.0,90.0,60.0,0.0,0.0,0.0,1175.0,435.0,740.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,215.0,115.0,105.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,        Krio,,65.0,20.0,45.0,0.0,0.0,0.0,220.0,90.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,        Morisyen,,595.0,300.0,300.0,0.1,0.1,0.1,1540.0,725.0,815.0,0.1,0.1,0.1,80.0,40.0,35.0,0.0,0.0,0.0,2365.0,1215.0,1140.0,0.1,0.1,0.1,50.0,35.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,        Sango,,75.0,30.0,40.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,205.0,110.0,95.0,0.0,0.0,0.0,185.0,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,"        Creole, n.o.s.",,1355.0,580.0,770.0,0.1,0.1,0.2,3305.0,1330.0,1980.0,0.1,0.1,0.1,140.0,80.0,60.0,0.0,0.0,0.0,11950.0,5630.0,6320.0,0.7,0.7,0.7,100.0,60.0,35.0,0.0,0.0,0.0,25.0,15.0,10.0,0.0,0.0,0.0
Knowledge of languages,"        Creole languages, n.i.e.",,410.0,200.0,215.0,0.0,0.0,0.0,1235.0,560.0,675.0,0.0,0.0,0.0,125.0,65.0,60.0,0.0,0.0,0.0,1520.0,685.0,835.0,0.1,0.1,0.1,75.0,45.0,35.0,0.0,0.0,0.0,35.0,10.0,25.0,0.0,0.0,0.1
Knowledge of languages,      Dravidian languages,,8700.0,4595.0,4105.0,0.9,0.9,0.8,98850.0,50540.0,48310.0,3.6,3.8,3.4,80.0,40.0,40.0,0.0,0.0,0.0,16725.0,8745.0,7975.0,1.0,1.0,0.9,4730.0,2670.0,2055.0,0.7,0.8,0.6,380.0,225.0,155.0,0.4,0.5,0.3
Knowledge of languages,        Kannada,,840.0,470.0,370.0,0.1,0.1,0.1,3625.0,1880.0,1750.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,540.0,325.0,215.0,0.0,0.0,0.0,330.0,195.0,140.0,0.1,0.1,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Knowledge of languages,        Malayalam,,1920.0,1075.0,840.0,0.2,0.2,0.2,11165.0,6325.0,4835.0,0.4,0.5,0.3,20.0,10.0,10.0,0.0,0.0,0.0,1760.0,935.0,825.0,0.1,0.1,0.1,965.0,565.0,400.0,0.1,0.2,0.1,190.0,120.0,65.0,0.2,0.3,0.1
Knowledge of languages,        Tamil,,4800.0,2435.0,2370.0,0.5,0.5,0.5,77785.0,38640.0,39145.0,2.8,2.9,2.7,40.0,20.0,25.0,0.0,0.0,0.0,12940.0,6480.0,6465.0,0.8,0.8,0.7,2670.0,1430.0,1240.0,0.4,0.4,0.4,80.0,45.0,35.0,0.1,0.1,0.1
Knowledge of languages,        Telugu,,2150.0,1160.0,995.0,0.2,0.2,0.2,11850.0,6900.0,4955.0,0.4,0.5,0.3,10.0,10.0,0.0,0.0,0.0,0.0,2415.0,1600.0,815.0,0.1,0.2,0.1,1110.0,690.0,415.0,0.2,0.2,0.1,140.0,75.0,65.0,0.2,0.2,0.1
Knowledge of languages,        Tulu,,65.0,30.0,30.0,0.0,0.0,0.0,320.0,160.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,10.0,0.0,0.0,0.0,50.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,"        Dravidian languages, n.i.e.",,40.0,10.0,25.0,0.0,0.0,0.0,240.0,95.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,      Georgian,,90.0,40.0,55.0,0.0,0.0,0.0,1355.0,670.0,680.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,75.0,70.0,0.0,0.0,0.0,40.0,30.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,      Hmong-Mien languages,,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,      Indo-European languages,,154980.0,73655.0,81320.0,15.5,15.1,15.9,801510.0,390560.0,410955.0,29.0,29.2,28.8,41540.0,19135.0,22405.0,7.8,7.3,8.2,450480.0,219660.0,230825.0,26.1,25.8,26.5,129460.0,63750.0,65710.0,19.9,20.1,19.8,11240.0,5355.0,5885.0,12.8,12.8,12.8
Knowledge of languages,        Albanian,,950.0,505.0,445.0,0.1,0.1,0.1,11050.0,5615.0,5430.0,0.4,0.4,0.4,360.0,185.0,175.0,0.1,0.1,0.1,2425.0,1220.0,1205.0,0.1,0.1,0.1,225.0,120.0,110.0,0.0,0.0,0.0,75.0,45.0,30.0,0.1,0.1,0.1
Knowledge of languages,        Armenian,,760.0,400.0,365.0,0.1,0.1,0.1,9595.0,4680.0,4910.0,0.3,0.4,0.3,100.0,40.0,60.0,0.0,0.0,0.0,7185.0,3350.0,3835.0,0.4,0.4,0.4,355.0,170.0,185.0,0.1,0.1,0.1,10.0,10.0,0.0,0.0,0.0,0.0
Knowledge of languages,        Balto-Slavic languages,,26665.0,12305.0,14365.0,2.7,2.5,2.8,132695.0,60545.0,72155.0,4.8,4.5,5.1,3470.0,1725.0,1740.0,0.7,0.7,0.6,40980.0,19110.0,21870.0,2.4,2.2,2.5,18335.0,8490.0,9850.0,2.8,2.7,3.0,1625.0,760.0,860.0,1.8,1.8,1.9
Knowledge of languages,        Baltic languages,,480.0,200.0,285.0,0.0,0.0,0.1,3550.0,1500.0,2055.0,0.1,0.1,0.1,15.0,10.0,0.0,0.0,0.0,0.0,530.0,215.0,315.0,0.0,0.0,0.0,295.0,110.0,190.0,0.0,0.0,0.1,40.0,20.0,20.0,0.0,0.0,0.0
Knowledge of languages,            Latvian,,230.0,115.0,115.0,0.0,0.0,0.0,1655.0,715.0,940.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,190.0,85.0,105.0,0.0,0.0,0.0,130.0,45.0,85.0,0.0,0.0,0.0,30.0,15.0,20.0,0.0,0.0,0.0
Knowledge of languages,            Lithuanian,,250.0,90.0,160.0,0.0,0.0,0.0,1905.0,785.0,1120.0,0.1,0.1,0.1,15.0,10.0,0.0,0.0,0.0,0.0,340.0,135.0,210.0,0.0,0.0,0.0,165.0,65.0,105.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Knowledge of languages,          Slavic languages,,26270.0,12150.0,14115.0,2.6,2.5,2.8,129955.0,59410.0,70545.0,4.7,4.4,5.0,3455.0,1715.0,1740.0,0.6,0.7,0.6,40615.0,18955.0,21660.0,2.4,2.2,2.5,18105.0,8425.0,9685.0,2.8,2.7,2.9,1590.0,750.0,840.0,1.8,1.8,1.8
Knowledge of languages,            Belarusian,,195.0,90.0,110.0,0.0,0.0,0.0,485.0,185.0,300.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,160.0,55.0,105.0,0.0,0.0,0.0,55.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,            Bulgarian,,1075.0,540.0,535.0,0.1,0.1,0.1,4900.0,2350.0,2550.0,0.2,0.2,0.2,295.0,125.0,170.0,0.1,0.0,0.1,3765.0,1820.0,1945.0,0.2,0.2,0.2,510.0,245.0,265.0,0.1,0.1,0.1,40.0,25.0,15.0,0.0,0.1,0.0
Knowledge of languages,            Czech,,1345.0,630.0,720.0,0.1,0.1,0.1,3625.0,1665.0,1960.0,0.1,0.1,0.1,70.0,30.0,45.0,0.0,0.0,0.0,990.0,455.0,535.0,0.1,0.1,0.1,1435.0,725.0,710.0,0.2,0.2,0.2,125.0,50.0,80.0,0.1,0.1,0.2
Knowledge of languages,            Macedonian,,210.0,95.0,115.0,0.0,0.0,0.0,7660.0,3560.0,4105.0,0.3,0.3,0.3,10.0,0.0,0.0,0.0,0.0,0.0,215.0,80.0,135.0,0.0,0.0,0.0,105.0,60.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,            Polish,,6645.0,2990.0,3660.0,0.7,0.6,0.7,27850.0,12460.0,15390.0,1.0,0.9,1.1,340.0,165.0,175.0,0.1,0.1,0.1,7925.0,3535.0,4390.0,0.5,0.4,0.5,3085.0,1445.0,1640.0,0.5,0.5,0.5,355.0,170.0,185.0,0.4,0.4,0.4
Knowledge of languages,            Russian,,11590.0,5520.0,6070.0,1.2,1.1,1.2,52840.0,23965.0,28870.0,1.9,1.8,2.0,1555.0,785.0,770.0,0.3,0.3,0.3,23995.0,11285.0,12705.0,1.4,1.3,1.5,7620.0,3365.0,4255.0,1.2,1.1,1.3,620.0,300.0,320.0,0.7,0.7,0.7
Knowledge of languages,            Rusyn,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,            Serbo-Croatian,,4685.0,2220.0,2460.0,0.5,0.5,0.5,25500.0,12155.0,13345.0,0.9,0.9,0.9,1220.0,620.0,595.0,0.2,0.2,0.2,3390.0,1700.0,1695.0,0.2,0.2,0.2,4660.0,2245.0,2415.0,0.7,0.7,0.7,295.0,140.0,155.0,0.3,0.3,0.3
Knowledge of languages,              Bosnian,,1385.0,670.0,715.0,0.1,0.1,0.1,3320.0,1625.0,1695.0,0.1,0.1,0.1,835.0,435.0,400.0,0.2,0.2,0.1,675.0,315.0,365.0,0.0,0.0,0.0,875.0,385.0,490.0,0.1,0.1,0.1,20.0,0.0,20.0,0.0,0.0,0.0
Knowledge of languages,              Croatian,,2135.0,985.0,1150.0,0.2,0.2,0.2,9415.0,4365.0,5055.0,0.3,0.3,0.4,250.0,125.0,120.0,0.0,0.0,0.0,1515.0,775.0,740.0,0.1,0.1,0.1,2010.0,935.0,1070.0,0.3,0.3,0.3,130.0,60.0,75.0,0.1,0.1,0.2
Knowledge of languages,              Serbian,,2655.0,1305.0,1350.0,0.3,0.3,0.3,18040.0,8705.0,9335.0,0.7,0.7,0.7,295.0,135.0,155.0,0.1,0.1,0.1,1725.0,840.0,885.0,0.1,0.1,0.1,2975.0,1470.0,1505.0,0.5,0.5,0.5,175.0,85.0,90.0,0.2,0.2,0.2
Knowledge of languages,"              Serbo-Croatian, n.i.e.",,90.0,50.0,40.0,0.0,0.0,0.0,715.0,355.0,360.0,0.0,0.0,0.0,40.0,30.0,15.0,0.0,0.0,0.0,95.0,60.0,40.0,0.0,0.0,0.0,140.0,65.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,            Slovak,,945.0,390.0,550.0,0.1,0.1,0.1,3675.0,1740.0,1930.0,0.1,0.1,0.1,20.0,10.0,10.0,0.0,0.0,0.0,590.0,250.0,340.0,0.0,0.0,0.0,825.0,400.0,430.0,0.1,0.1,0.1,60.0,25.0,40.0,0.1,0.1,0.1
Knowledge of languages,            Slovene (Slovenian),,235.0,115.0,115.0,0.0,0.0,0.0,1900.0,810.0,1090.0,0.1,0.1,0.1,10.0,10.0,0.0,0.0,0.0,0.0,345.0,145.0,200.0,0.0,0.0,0.0,205.0,105.0,95.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0
Knowledge of languages,            Ukrainian,,3170.0,1375.0,1795.0,0.3,0.3,0.4,21345.0,9400.0,11945.0,0.8,0.7,0.8,275.0,115.0,160.0,0.1,0.0,0.1,4905.0,2155.0,2745.0,0.3,0.3,0.3,1945.0,860.0,1085.0,0.3,0.3,0.3,210.0,120.0,95.0,0.2,0.3,0.2
Knowledge of languages,"            Slavic languages, n.i.e.",,20.0,0.0,20.0,0.0,0.0,0.0,85.0,45.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,30.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,        Celtic languages,,455.0,220.0,235.0,0.0,0.0,0.0,1350.0,745.0,605.0,0.0,0.1,0.0,35.0,10.0,25.0,0.0,0.0,0.0,275.0,150.0,125.0,0.0,0.0,0.0,1255.0,685.0,565.0,0.2,0.2,0.2,50.0,35.0,15.0,0.1,0.1,0.0
Knowledge of languages,          Irish,,300.0,160.0,140.0,0.0,0.0,0.0,990.0,565.0,425.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,120.0,65.0,55.0,0.0,0.0,0.0,1035.0,565.0,470.0,0.2,0.2,0.1,30.0,20.0,0.0,0.0,0.0,0.0
Knowledge of languages,          Scottish Gaelic,,80.0,45.0,35.0,0.0,0.0,0.0,140.0,80.0,60.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,35.0,20.0,15.0,0.0,0.0,0.0,35.0,20.0,15.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0
Knowledge of languages,          Welsh,,70.0,20.0,55.0,0.0,0.0,0.0,135.0,55.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,15.0,0.0,0.0,0.0,130.0,75.0,60.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Knowledge of languages,"          Celtic languages, n.i.e.",,15.0,0.0,15.0,0.0,0.0,0.0,95.0,60.0,30.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,85.0,45.0,45.0,0.0,0.0,0.0,50.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,        Germanic languages,,17165.0,8105.0,9060.0,1.7,1.7,1.8,39895.0,19365.0,20530.0,1.4,1.4,1.4,3225.0,1600.0,1625.0,0.6,0.6,0.6,28325.0,14670.0,13655.0,1.6,1.7,1.6,15535.0,7665.0,7865.0,2.4,2.4,2.4,2760.0,1290.0,1470.0,3.1,3.1,3.2
Knowledge of languages,          Frisian,,45.0,20.0,25.0,0.0,0.0,0.0,55.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,25.0,0.0,0.0,0.0,25.0,10.0,15.0,0.0,0.0,0.0,25.0,10.0,20.0,0.0,0.0,0.0
Knowledge of languages,          High German languages,,12755.0,6045.0,6710.0,1.3,1.2,1.3,31620.0,15385.0,16235.0,1.1,1.2,1.1,2820.0,1385.0,1435.0,0.5,0.5,0.5,25545.0,13365.0,12180.0,1.5,1.6,1.4,11430.0,5660.0,5770.0,1.8,1.8,1.7,1950.0,915.0,1045.0,2.2,2.2,2.3
Knowledge of languages,            German,,12375.0,5860.0,6515.0,1.2,1.2,1.3,27540.0,13390.0,14145.0,1.0,1.0,1.0,2785.0,1365.0,1420.0,0.5,0.5,0.5,17050.0,8935.0,8110.0,1.0,1.0,0.9,11050.0,5480.0,5565.0,1.7,1.7,1.7,1915.0,900.0,1015.0,2.2,2.2,2.2
Knowledge of languages,            Pennsylvania German,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,            Swiss German,,230.0,95.0,130.0,0.0,0.0,0.0,575.0,275.0,300.0,0.0,0.0,0.0,50.0,35.0,15.0,0.0,0.0,0.0,300.0,120.0,175.0,0.0,0.0,0.0,330.0,145.0,185.0,0.1,0.0,0.1,30.0,0.0,30.0,0.0,0.0,0.1
Knowledge of languages,            Yiddish,,310.0,150.0,155.0,0.0,0.0,0.0,3915.0,1905.0,2010.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,8490.0,4455.0,4030.0,0.5,0.5,0.5,240.0,115.0,125.0,0.0,0.0,0.0,25.0,15.0,10.0,0.0,0.0,0.0
Knowledge of languages,          Low Saxon-Low Franconian languages,,3475.0,1600.0,1880.0,0.3,0.3,0.4,6385.0,3260.0,3125.0,0.2,0.2,0.2,305.0,135.0,165.0,0.1,0.1,0.1,2020.0,1005.0,1025.0,0.1,0.1,0.1,2895.0,1560.0,1335.0,0.4,0.5,0.4,605.0,250.0,350.0,0.7,0.6,0.8
Knowledge of languages,            Afrikaans,,660.0,340.0,330.0,0.1,0.1,0.1,2095.0,1140.0,955.0,0.1,0.1,0.1,20.0,0.0,10.0,0.0,0.0,0.0,205.0,95.0,105.0,0.0,0.0,0.0,1015.0,565.0,445.0,0.2,0.2,0.1,115.0,65.0,50.0,0.1,0.2,0.1
Knowledge of languages,            Dutch,,2715.0,1225.0,1490.0,0.3,0.3,0.3,4115.0,2055.0,2055.0,0.1,0.2,0.1,275.0,130.0,140.0,0.1,0.0,0.1,1645.0,825.0,820.0,0.1,0.1,0.1,1860.0,965.0,900.0,0.3,0.3,0.3,475.0,180.0,290.0,0.5,0.4,0.6
Knowledge of languages,"            Low German, n.o.s.",,10.0,10.0,0.0,0.0,0.0,0.0,20.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,            Low Saxon,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,            Plautdietsch,,35.0,25.0,0.0,0.0,0.0,0.0,50.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,30.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,            Vlaams (Flemish),,115.0,35.0,85.0,0.0,0.0,0.0,205.0,100.0,105.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,175.0,85.0,90.0,0.0,0.0,0.0,70.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,          Scandinavian languages,,1500.0,745.0,755.0,0.1,0.2,0.1,2975.0,1310.0,1670.0,0.1,0.1,0.1,165.0,95.0,65.0,0.0,0.0,0.0,1440.0,725.0,710.0,0.1,0.1,0.1,1805.0,785.0,1020.0,0.3,0.2,0.3,295.0,165.0,130.0,0.3,0.4,0.3
Knowledge of languages,            Danish,,505.0,185.0,320.0,0.1,0.0,0.1,1020.0,435.0,580.0,0.0,0.0,0.0,40.0,25.0,25.0,0.0,0.0,0.0,425.0,190.0,230.0,0.0,0.0,0.0,565.0,280.0,285.0,0.1,0.1,0.1,95.0,60.0,40.0,0.1,0.1,0.1
Knowledge of languages,            Icelandic,,25.0,10.0,15.0,0.0,0.0,0.0,95.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,20.0,20.0,0.0,0.0,0.0,40.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,            Norwegian,,360.0,205.0,155.0,0.0,0.0,0.0,535.0,215.0,320.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,285.0,155.0,130.0,0.0,0.0,0.0,405.0,145.0,260.0,0.1,0.0,0.1,105.0,65.0,40.0,0.1,0.2,0.1
Knowledge of languages,            Swedish,,685.0,385.0,300.0,0.1,0.1,0.1,1530.0,700.0,830.0,0.1,0.1,0.1,100.0,60.0,40.0,0.0,0.0,0.0,820.0,445.0,370.0,0.0,0.1,0.0,910.0,395.0,510.0,0.1,0.1,0.2,125.0,55.0,65.0,0.1,0.1,0.1
Knowledge of languages,"          Germanic languages, n.i.e.",,95.0,30.0,60.0,0.0,0.0,0.0,95.0,65.0,30.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,80.0,30.0,50.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,        Greek,,2965.0,1530.0,1440.0,0.3,0.3,0.3,36620.0,17545.0,19070.0,1.3,1.3,1.3,170.0,85.0,85.0,0.0,0.0,0.0,20685.0,9850.0,10830.0,1.2,1.2,1.2,3055.0,1555.0,1500.0,0.5,0.5,0.5,90.0,50.0,45.0,0.1,0.1,0.1
Knowledge of languages,        Indo-Iranian languages,,52110.0,26755.0,25350.0,5.2,5.5,5.0,302620.0,156380.0,146235.0,11.0,11.7,10.3,2280.0,1155.0,1120.0,0.4,0.4,0.4,77115.0,41190.0,35920.0,4.5,4.8,4.1,45935.0,23365.0,22570.0,7.1,7.4,6.8,1995.0,1020.0,980.0,2.3,2.4,2.1
Knowledge of languages,          Indo-Aryan languages,,39190.0,20285.0,18910.0,3.9,4.1,3.7,236745.0,123180.0,113565.0,8.6,9.2,8.0,1325.0,690.0,635.0,0.2,0.3,0.2,58875.0,31985.0,26890.0,3.4,3.8,3.1,33070.0,16905.0,16165.0,5.1,5.3,4.9,1585.0,825.0,770.0,1.8,2.0,1.7
Knowledge of languages,            Assamese,,30.0,15.0,20.0,0.0,0.0,0.0,230.0,125.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,15.0,0.0,0.0,0.0,15.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,            Bengali,,5420.0,2800.0,2620.0,0.5,0.6,0.5,41750.0,21390.0,20355.0,1.5,1.6,1.4,215.0,110.0,95.0,0.0,0.0,0.0,12945.0,6685.0,6255.0,0.8,0.8,0.7,1675.0,950.0,725.0,0.3,0.3,0.2,130.0,65.0,65.0,0.1,0.2,0.1
Knowledge of languages,            Gujarati,,4375.0,2440.0,1935.0,0.4,0.5,0.4,42425.0,22190.0,20235.0,1.5,1.7,1.4,40.0,15.0,20.0,0.0,0.0,0.0,6930.0,3785.0,3140.0,0.4,0.4,0.4,1840.0,895.0,935.0,0.3,0.3,0.3,120.0,70.0,60.0,0.1,0.2,0.1
Knowledge of languages,            Hindi,,18430.0,9705.0,8725.0,1.8,2.0,1.7,107170.0,56950.0,50220.0,3.9,4.3,3.5,400.0,225.0,175.0,0.1,0.1,0.1,24370.0,13400.0,10970.0,1.4,1.6,1.3,15025.0,7830.0,7190.0,2.3,2.5,2.2,830.0,475.0,355.0,0.9,1.1,0.8
Knowledge of languages,            Kacchi,,340.0,150.0,190.0,0.0,0.0,0.0,3300.0,1400.0,1900.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,195.0,95.0,95.0,0.0,0.0,0.0,405.0,165.0,245.0,0.1,0.1,0.1,15.0,0.0,10.0,0.0,0.0,0.0
Knowledge of languages,            Kashmiri,,35.0,15.0,15.0,0.0,0.0,0.0,280.0,130.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,15.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge of languages,            Konkani,,275.0,105.0,165.0,0.0,0.0,0.0,2005.0,940.0,1065.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,155.0,95.0,60.0,0.0,0.0,0.0,150.0,95.0,55.0,0.0,0.0,0.0,30.0,10.0,20.0,0.0,0.0,0.0
Knowledge of languages,            Marathi,,1205.0,590.0,615.0,0.1,0.1,0.1,8290.0,4325.0,3970.0,0.3,0.3,0.3,40.0,20.0,20.0,0.0,0.0,0.0,780.0,440.0,340.0,0.0,0.1,0.0,665.0,385.0,280.0,0.1,0.1,0.1,115.0,45.0,70.0,0.1,0.1,0.2
Knowledge of languages,            Nepali,,1270.0,650.0,625.0,0.1,0.1,0.1,5580.0,2850.0,2725.0,0.2,0.2,0.2,560.0,320.0,245.0,0.1,0.1,0.1,485.0,270.0,220.0,0.0,0.0,0.0,325.0,185.0,140.0,0.0,0.1,0.0,40.0,15.0,25.0,0.0,0.0,0.1
Knowledge of languages,            Oriya languages,,100.0,45.0,55.0,0.0,0.0,0.0,1010.0,535.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,20.0,35.0,0.0,0.0,0.0,50.0,30.0,20.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Knowledge of languages,              Odia,,65.0,25.0,40.0,0.0,0.0,0.0,605.0,340.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,15.0,0.0,0.0,0.0,30.0,20.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Knowledge of languages,"              Oriya, n.o.s.",,25.0,20.0,15.0,0.0,0.0,0.0,410.0,200.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,15.0,0.0,0.0,0.0,20.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
